Ciudad,Estado ,Tipo Combustible,Litros de combustible suministrado,Servicios realizados,Costo de gasolina por estado,Costo De servicio ,Ganancias Combustible,Ganancias Servicios,Meses,Ganancias Totale Combustibles,Ganancias Totales Servicios
Acapulco,Guerrero,Magna,1661674,757,$8.29,$73.00,"$13,775,277.46","$55,261.00",Enero ,"$112,365,134","$276,925"
Aguascalientes,Aguascalientes,Magna,1557391,502,$8.43,$80.00,"$13,128,806.13","$40,160.00",Febrero,"$754,371,439","$636,321"
El Bajio,Guanajuato,Magna,3975683,1124,$9.83,$72.00,"$39,080,963.89","$80,928.00",Marzo,"$341,861,226","$437,586"
Ciudad Obregon,Sonora,Magna,641425,240,$8.50,$59.00,"$5,452,112.50","$14,160.00",Abril,"$1,291,527,851","$1,374,565"
Ciudad Juarez,Chihuahua,Magna,2032172,502,$8.50,$59.00,"$17,273,462.00","$29,618.00",Mayo,"$66,324,689","$430,674"
Ciudad Del Carmen,Campeche,Magna,2466576,653,$8.50,$74.00,"$20,965,896.00","$48,322.00",Junio,"$258,785,725","$401,039"
Colima,Colima,Magna,336077,163,$8.00,$52.00,"$2,688,616.00","$8,476.00",Julio,"$230,504,030","$446,419"
Campeche,Campeche,Magna,571376,187,$8.21,$70.00,"$4,690,996.96","$13,090.00",Agosto,"$62,757,695","$222,957"
Chetumal,Quintana Roo,Magna,425045,109,$7.20,$67.00,"$3,060,324.00","$7,303.00",Septiembre,"$10,259,090","$242,747"
Culiacan,Sinaloa,Magna,3037601,816,$8.70,$78.00,"$26,427,128.70","$63,648.00",Octubre,"$11,197,919","$271,535"
Cancun,Quintana Roo,Magna,72948856,6553,$9.25,$71.00,"$674,776,918.00","$465,263.00",Noviembre,"$5,365,272","$54,598"
Chihuahua,Chihuahua,Magna,2450726,834,$10.00,$55.00,"$24,507,260.00","$45,870.00",Diciembre,"$6,961,503","$96,002"
Cuernavaca,Morelos,Magna,118665,106,$9.00,$69.00,"$1,067,985.00","$7,314.00",,,
Ciudad Victoria,Tamaulipas,Magna,205869,191,$8.50,$55.00,"$1,749,886.50","$10,505.00",,,
Cozumel,Quintana Roo,Magna,1809094,432,$10.00,$54.00,"$18,090,940.00","$23,328.00",,,
Durango,Durango,Magna,657824,357,$11.25,$58.00,"$7,400,520.00","$20,706.00",,,
Guadalajara,Jalisco,Magna,23707321,4370,$11.00,$62.00,"$260,780,531.00","$270,940.00",,,
Guaymas,Sonora,Magna,48175,49,$9.50,$57.00,"$457,662.50","$2,793.00",,,
Hermosillo,Sonora,Magna,3244029,1151,$9.00,$61.00,"$29,196,261.00","$70,211.00",,,
Huatulco,Oaxaca,Magna,2034092,361,$9.67,$66.00,"$19,669,669.64","$23,826.00",,,
La Paz,Baja California Sur,Magna,1612308,451,$10.00,$51.00,"$16,123,080.00","$23,001.00",,,
Los Mochis,Sinaloa,Magna,816657,291,$9.13,$79.00,"$7,456,078.41","$22,989.00",,,
Loreto,Baja California Sur,Magna,81834,60,$9.50,$52.00,"$777,423.00","$3,120.00",,,
Lazaro Cardenas,Michoacan,Magna,56207,67,$8.00,$80.00,"$449,656.00","$5,360.00",,,
Matamoros,Tamaulipas,Magna,233925,204,$9.00,$66.00,"$2,105,325.00","$13,464.00",,,
Mexico,Distrito Federal,Magna,126689836,17865,$8.75,$54.00,"$1,108,536,065.00","$964,710.00",,,
Merida,Yucatan,Magna,4141358,1022,$8.00,$58.00,"$33,130,864.00","$59,276.00",,,
Morelia,Michoacan,Magna,1718233,446,$8.50,$57.00,"$14,604,980.50","$25,422.00",,,
Minatitlan,Veracruz,Magna,462289,221,$8.86,$54.00,"$4,095,880.54","$11,934.00",,,
Monterrey,Nuevo Leon,Magna,16075635,4673,$8.00,$63.00,"$128,605,080.00","$294,399.00",,,
Mexicali,Baja California,Magna,1470946,327,$9.60,$75.00,"$14,121,081.60","$24,525.00",,,
Mazatlan,Sinaloa,Magna,2355395,593,$11.80,$66.00,"$27,793,661.00","$39,138.00",,,
Nuevo Laredo,Tamaulipas,Magna,214953,75,$10.38,$58.00,"$2,231,212.14","$4,350.00",,,
Nogales,Sonora,Magna,6384,13,$9.00,$69.00,"$57,456.00",$897.00,,,
Oaxaca,Oaxaca,Magna,1325673,570,$9.00,$55.00,"$11,931,057.00","$31,350.00",,,
Poza Rica,Veracruz,Magna,121999,194,$9.00,$54.00,"$1,097,991.00","$10,476.00",,,
Puebla,Puebla,Magna,1026011,436,$8.50,$51.00,"$8,721,093.50","$22,236.00",,,
Pachuca,Hidalgo,Magna,33746,32,$8.50,$54.00,"$286,841.00","$1,728.00",,,
Puerto Penasco,Sonora,Magna,10537,25,$8.00,$63.00,"$84,296.00","$1,575.00",,,
Palenque,Chiapas,Magna,51200,19,$8.08,$80.00,"$413,696.00","$1,520.00",,,
Puerto Vallarta,Jalisco,Magna,14854899,1786,$9.00,$68.00,"$133,694,091.00","$121,448.00",,,
Puerto Escondido,Oaxaca,Magna,315477,166,$8.19,$67.00,"$2,583,756.63","$11,122.00",,,
Queretaro,Queretaro,Magna,2314915,883,$8.36,$77.00,"$19,352,689.40","$67,991.00",,,
Reynosa,Tamaulipas,Magna,942335,351,$8.14,$65.00,"$7,670,606.90","$22,815.00",,,
San Jose Del Cabo,Baja California Sur,Magna,9785055,1586,$7.13,$50.00,"$69,767,442.15","$79,300.00",,,
San Luis Potosi,San Luis Potosi,Magna,1390614,753,$8.50,$71.00,"$11,820,219.00","$53,463.00",,,
Tampico,Tamaulipas,Magna,977536,531,$8.13,$60.00,"$7,947,367.68","$31,860.00",,,
Tapachula,Chiapas,Magna,691982,192,$8.00,$60.00,"$5,535,856.00","$11,520.00",,,
Tehuacan,Puebla,Magna,12879,11,$9.75,$51.00,"$125,570.25",$561.00,,,
Tuxtla Gutierrez,Chiapas,Magna,2348217,574,$9.67,$70.00,"$22,707,258.39","$40,180.00",,,
Tijuana,Baja California,Magna,13975215,1820,$8.50,$53.00,"$118,789,327.50","$96,460.00",,,
Toluca,Estado De Mexico,Magna,6218136,2620,$8.54,$60.00,"$53,102,881.44","$157,200.00",,,
Tamuin,San Luis Potosi,Magna,6169,14,$8.34,$50.00,"$51,449.46",$700.00,,,
Tepic,Nayarit,Magna,270317,137,$8.29,$70.00,"$2,240,927.93","$9,590.00",,,
Torreon,Coahuila,Magna,1183719,545,$8.43,$68.00,"$9,978,751.17","$37,060.00",,,
Uruapan,Michoacan,Magna,391294,91,$9.83,$68.00,"$3,846,420.02","$6,188.00",,,
Veracruz,Veracruz,Magna,2313111,1231,$8.50,$80.00,"$19,661,443.50","$98,480.00",,,
Villahermosa,Tabasco,Magna,2639926,803,$8.50,$75.00,"$22,439,371.00","$60,225.00",,,
Zacatecas,Zacatecas,Magna,802574,271,$8.50,$78.00,"$6,821,879.00","$21,138.00",,,
Zihuatanejo,Guerrero,Magna,2474034,503,$8.00,$80.00,"$19,792,272.00","$40,240.00",,,
Manzanillo,Colima,Magna,1202721,311,$8.21,$60.00,"$9,874,339.41","$18,660.00",,,
Acapulco,Guerrero,Magna,37529,403,$7.20,$53.00,"$270,208.80","$21,359.00",,,
Aguascalientes,Aguascalientes,Premium,9109,45,$35.00,$138.00,"$318,815.00","$6,210.00",,,
El Bajio,Guanajuato,Premium,8371,51,$20.00,$133.00,"$167,420.00","$6,783.00",,,
Ciudad Obregon,Sonora,Premium,119185,199,$24.00,$188.00,"$2,860,440.00","$37,412.00",,,
Ciudad Juarez,Chihuahua,Premium,8518,41,$25.00,$210.00,"$212,950.00","$8,610.00",,,
Ciudad Del Carmen,Campeche,Premium,3519,16,$28.00,$145.00,"$98,532.00","$2,320.00",,,
Colima,Colima,Premium,44866,63,$20.00,$158.00,"$897,320.00","$9,954.00",,,
Campeche,Campeche,Premium,3883,16,$20.00,$199.00,"$77,660.00","$3,184.00",,,
Chetumal,Quintana Roo,Premium,11095,48,$24.00,$131.00,"$266,280.00","$6,288.00",,,
Culiacan,Sinaloa,Premium,232415,622,$22.00,$127.00,"$5,113,130.00","$78,994.00",,,
Cancun,Quintana Roo,Premium,12530,60,$34.00,$144.00,"$426,020.00","$8,640.00",,,
Chihuahua,Chihuahua,Premium,89432,243,$23.00,$175.00,"$2,056,936.00","$42,525.00",,,
Cuernavaca,Morelos,Premium,40469,421,$22.00,$192.00,"$890,318.00","$80,832.00",,,
Ciudad Victoria,Tamaulipas,Premium,13118,77,$33.00,$130.00,"$432,894.00","$10,010.00",,,
Cozumel,Quintana Roo,Premium,19681,128,$21.00,$177.00,"$413,301.00","$22,656.00",,,
Durango,Durango,Premium,35690,213,$35.00,$166.00,"$1,249,150.00","$35,358.00",,,
Guadalajara,Jalisco,Premium,149729,460,$28.00,$191.00,"$4,192,412.00","$87,860.00",,,
Guaymas,Sonora,Premium,33782,132,$24.00,$159.00,"$810,768.00","$20,988.00",,,
Hermosillo,Sonora,Premium,81952,379,$23.00,$167.00,"$1,884,896.00","$63,293.00",,,
Huatulco,Oaxaca,Premium,2030,11,$23.00,$196.00,"$46,690.00","$2,156.00",,,
La Paz,Baja California Sur,Premium,23120,56,$22.00,$157.00,"$508,640.00","$8,792.00",,,
Los Mochis,Sinaloa,Premium,92946,193,$20.00,$129.00,"$1,858,920.00","$24,897.00",,,
Loreto,Baja California Sur,Premium,8967,41,$26.00,$135.00,"$233,142.00","$5,535.00",,,
Lazaro Cardenas,Michoacan,Premium,1093,7,$31.00,$170.00,"$33,883.00","$1,190.00",,,
Matamoros,Tamaulipas,Premium,1092,10,$32.00,$200.00,"$34,944.00","$2,000.00",,,
Mexico,Distrito Federal,Premium,22000,2,$27.00,$181.00,"$594,000.00",$362.00,,,
Merida,Yucatan,Premium,22939,136,$25.00,$180.00,"$573,475.00","$24,480.00",,,
Morelia,Michoacan,Premium,8302,57,$29.00,$136.00,"$240,758.00","$7,752.00",,,
Minatitlan,Veracruz,Premium,2866,12,$23.00,$173.00,"$65,918.00","$2,076.00",,,
Monterrey,Nuevo Leon,Premium,92076,11,$29.00,$152.00,"$2,670,204.00","$1,672.00",,,
Mexicali,Baja California,Premium,38403,93,$30.00,$162.00,"$1,152,090.00","$15,066.00",,,
Mazatlan,Sinaloa,Premium,280125,60,$20.00,$174.00,"$5,602,500.00","$10,440.00",,,
Nuevo Laredo,Tamaulipas,Premium,2405,15,$23.00,$194.00,"$55,315.00","$2,910.00",,,
Nogales,Sonora,Premium,9780,41,$28.00,$178.00,"$273,840.00","$7,298.00",,,
Oaxaca,Oaxaca,Premium,10630,77,$26.00,$183.00,"$276,380.00","$14,091.00",,,
Poza Rica,Veracruz,Premium,2397,18,$24.00,$186.00,"$57,528.00","$3,348.00",,,
Puebla,Puebla,Premium,22698,233,$21.00,$205.00,"$476,658.00","$47,765.00",,,
Pachuca,Hidalgo,Premium,9534,50,$23.00,$203.00,"$219,282.00","$10,150.00",,,
Puerto Penasco,Sonora,Premium,29868,90,$32.00,$134.00,"$955,776.00","$12,060.00",,,
Palenque,Chiapas,Premium,43343,45,$35.00,$155.00,"$1,517,005.00","$6,975.00",,,
Puerto Vallarta,Jalisco,Premium,21359,116,$23.00,$176.00,"$491,257.00","$20,416.00",,,
Puerto Escondido,Oaxaca,Premium,5524,44,$29.00,$146.00,"$160,196.00","$6,424.00",,,
Queretaro,Queretaro,Premium,27376,199,$23.00,$126.00,"$629,648.00","$25,074.00",,,
Reynosa,Tamaulipas,Premium,23434,42,$20.00,$142.00,"$468,680.00","$5,964.00",,,
San Jose Del Cabo,Baja California Sur,Premium,4983,13,$31.00,$121.00,"$154,473.00","$1,573.00",,,
San Luis Potosi,San Luis Potosi,Premium,19368,75,$25.00,$198.00,"$484,200.00","$14,850.00",,,
Tampico,Tamaulipas,Premium,19316,112,$25.00,$153.00,"$482,900.00","$17,136.00",,,
Tapachula,Chiapas,Premium,174442,175,$33.00,$206.00,"$5,756,586.00","$36,050.00",,,
Tehuacan,Puebla,Premium,14212,30,$26.00,$156.00,"$369,512.00","$4,680.00",,,
Tuxtla Gutierrez,Chiapas,Premium,234352,402,$34.00,$189.00,"$7,967,968.00","$75,978.00",,,
Tijuana,Baja California,Premium,1234324,1245,$20.00,$195.00,"$24,686,480.00","$242,775.00",,,
Toluca,Estado De Mexico,Premium,2536818,2465,$27.00,$154.00,"$68,494,086.00","$379,610.00",,,
Tamuin,San Luis Potosi,Premium,7000,24,$21.00,$126.00,"$147,000.00","$3,024.00",,,
Tepic,Nayarit,Premium,42421,124,$26.00,$169.00,"$1,102,946.00","$20,956.00",,,
Torreon,Coahuila,Premium,38782,235,$30.00,$185.00,"$1,163,460.00","$43,475.00",,,
Uruapan,Michoacan,Premium,349812,98,$32.00,$207.00,"$11,193,984.00","$20,286.00",,,
Veracruz,Veracruz,Premium,233213,1334,$31.00,$177.00,"$7,229,603.00","$236,118.00",,,
Villahermosa,Tabasco,Premium,2633423,891,$25.00,$180.00,"$65,835,575.00","$160,380.00",,,
Zacatecas,Zacatecas,Premium,84821,308,$28.00,$208.00,"$2,374,988.00","$64,064.00",,,
Zihuatanejo,Guerrero,Premium,2243442,230,$20.00,$122.00,"$44,868,840.00","$28,060.00",,,
Manzanillo,Colima,Premium,142324,123,$24.00,$200.00,"$3,415,776.00","$24,600.00",,,
